[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		13
[runlim] argv[2]:		2
[runlim] argv[3]:		4
[runlim] start:			Wed Sep  1 02:31:31 2021
[runlim] main pid:		18118
[runlim] sample:		10.0 time, 10.4 real, 347.2 MB
[runlim] sample:		20.0 time, 20.4 real, 667.4 MB
[runlim] sample:		30.0 time, 30.4 real, 982.5 MB
[runlim] sample:		40.0 time, 40.4 real, 1294.4 MB
[runlim] sample:		50.0 time, 50.4 real, 1599.7 MB
[runlim] sample:		60.0 time, 60.4 real, 1912.7 MB
[runlim] sample:		70.0 time, 70.4 real, 2227.2 MB
[runlim] sample:		80.0 time, 80.4 real, 2583.8 MB
[runlim] sample:		90.0 time, 90.4 real, 2887.2 MB
[runlim] sample:		99.9 time, 100.4 real, 3168.2 MB
[runlim] sample:		109.9 time, 110.4 real, 3434.5 MB
[runlim] sample:		119.9 time, 120.4 real, 3688.5 MB
[runlim] sample:		129.9 time, 130.4 real, 3934.2 MB
[runlim] sample:		139.9 time, 140.4 real, 4171.4 MB
[runlim] sample:		149.9 time, 150.4 real, 4401.6 MB
[runlim] sample:		159.9 time, 160.4 real, 6676.3 MB
[runlim] sample:		197.7 time, 170.4 real, 6676.3 MB
[runlim] sample:		229.2 time, 180.4 real, 6676.4 MB
[runlim] sample:		248.3 time, 190.4 real, 6729.0 MB
[runlim] sample:		267.1 time, 200.4 real, 6726.6 MB
[runlim] sample:		286.2 time, 210.4 real, 6724.5 MB
[runlim] sample:		304.2 time, 220.4 real, 4499.7 MB
[runlim] end:			Wed Sep  1 02:35:20 2021
[runlim] status:		ok
[runlim] result:		0
[runlim] children:		0
[runlim] real:			229.69 seconds
[runlim] time:			313.52 seconds
[runlim] space:			6741.3 MB
[runlim] samples:		2293
