[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		13990 MB
[runlim] argv[0]:		./a.out
[runlim] argv[1]:		9
[runlim] argv[2]:		2
[runlim] argv[3]:		1
[runlim] start:			Wed Sep  1 00:35:48 2021
[runlim] main pid:		3572
[runlim] sample:		10.0 time, 10.4 real, 348.0 MB
[runlim] sample:		20.0 time, 20.4 real, 669.1 MB
[runlim] end:			Wed Sep  1 00:36:09 2021
[runlim] status:		ok
[runlim] result:		0
[runlim] children:		0
[runlim] real:			21.33 seconds
[runlim] time:			20.87 seconds
[runlim] space:			672.5 MB
[runlim] samples:		209
